[2015-09-21 20:16:37,467 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:37,578 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:37,664 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:37,746 main com.alibaba.druid.pool.DruidDataSource] {dataSource-9} inited
[2015-09-21 20:16:37,952 main com.selflife.service.test.SoftwareServiceTest] ========com.selflife.model.Software@7e928e2f
[2015-09-21 20:16:37,954 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@328cf0e1: startup date [Mon Sep 21 20:16:37 CST 2015]; root of context hierarchy
[2015-09-21 20:16:37,955 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:37,996 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:38,072 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:38,115 main com.alibaba.druid.pool.DruidDataSource] {dataSource-10} inited
[2015-09-21 20:16:38,317 main com.selflife.service.test.SoftwareServiceTest] ----------1
[2015-09-21 20:16:38,322 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@60f7cc1d: startup date [Mon Sep 21 20:16:38 CST 2015]; root of context hierarchy
[2015-09-21 20:16:38,323 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:38,364 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:38,430 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:38,491 main com.alibaba.druid.pool.DruidDataSource] {dataSource-11} inited
[2015-09-21 20:16:39,898 main com.selflife.web.test.HttpPostMethod] 
